Hora	Azimuth	Elevación	Potencia
21:22:12	15.0	32.2	0.0
21:22:12	15.0	32.2	0.0
21:22:12	15.0	32.2	0.0
21:22:13	15.0	32.2	0.0
21:22:14	15.0	32.2	0.0
21:22:15	15.0	32.2	0.0
21:22:15	15.0	32.2	0.0
21:22:15	15.0	32.2	0.0
21:22:16	15.0	32.2	0.0
21:22:17	15.0	32.2	0.0
21:22:18	15.0	32.2	0.0
21:22:18	15.0	32.2	0.0
21:22:18	15.0	32.2	0.0
21:22:19	15.0	32.2	0.0
21:22:20	15.0	32.2	0.0
21:22:21	15.0	32.2	0.0
21:22:21	15.0	32.2	0.0
21:22:21	15.0	32.2	0.0
21:22:22	15.0	32.2	0.0
21:22:23	15.0	32.2	0.0
21:22:24	15.0	32.2	0.0
21:22:24	15.0	32.2	0.0
21:22:24	15.0	32.2	0.0
21:22:25	15.0	32.2	0.0
21:22:26	15.0	32.2	0.0
21:22:27	15.0	32.2	0.0
21:22:27	15.0	32.2	0.0
21:22:27	15.0	32.2	0.0
21:22:27	15.0	32.2	0.0
21:22:28	15.0	32.2	0.0
21:22:29	15.0	32.2	0.0
21:22:30	15.0	32.2	0.0
21:22:30	15.0	32.2	0.0
