Hora	Azimuth	Elevación	Potencia
21:18:12	15.0	32.2	0.0
21:18:12	15.0	32.2	0.0
21:18:13	15.0	32.2	0.0
21:18:14	15.0	32.2	0.0
21:18:15	15.0	32.2	0.0
21:18:15	15.0	32.2	0.0
21:18:16	15.0	32.2	0.0
21:18:17	15.0	32.2	0.0
21:18:18	15.0	32.2	0.0
21:18:18	15.0	32.2	0.0
21:18:19	15.0	32.2	0.0
21:18:20	15.0	32.2	0.0
21:18:21	15.0	32.2	0.0
21:18:21	15.0	32.2	0.0
21:18:22	15.0	32.2	0.0
21:18:23	15.0	32.2	0.0
21:18:24	15.0	32.2	0.0
21:18:24	15.0	32.2	0.0
21:18:25	15.0	32.2	0.0
21:18:26	15.0	32.2	0.0
21:18:27	15.0	32.2	0.0
21:18:27	15.0	32.2	0.0
21:18:28	15.0	32.2	0.0
21:18:29	15.0	32.2	0.0
21:18:30	15.0	32.2	0.0
21:18:30	15.0	32.2	0.0
21:18:31	15.0	32.2	0.0
21:18:32	15.0	32.2	0.0
21:18:33	15.0	32.2	0.0
21:18:33	15.0	32.2	0.0
21:18:34	15.0	32.2	0.0
21:18:35	15.0	32.2	0.0
21:18:36	15.0	32.2	0.0
21:18:36	15.0	32.2	0.0
21:18:37	15.0	32.2	0.0
21:18:38	15.0	32.2	0.0
21:18:39	15.0	32.2	0.0
21:18:39	15.0	32.2	0.0
21:18:40	15.0	32.2	0.0
21:18:41	15.0	32.2	0.0
21:18:42	15.0	32.2	0.0
21:18:42	15.0	32.2	0.0
21:18:43	15.0	32.2	0.0
21:18:44	15.0	32.2	0.0
21:18:45	15.0	32.2	0.0
