Hora	Azimuth	Elevación	Potencia
20:48:11	15.0	25.0	0.0
20:48:11	15.0	25.0	0.0
20:48:11	15.0	25.0	0.0
20:48:12	15.0	25.0	0.0
20:48:13	15.0	25.0	0.0
20:48:13	15.0	25.0	0.0
20:48:13	15.0	25.0	0.0
20:48:14	15.0	25.0	0.0
20:48:15	15.0	25.0	0.0
20:48:15	15.0	25.0	0.0
20:48:16	15.0	25.0	0.0
20:48:16	15.0	25.0	0.0
20:48:17	15.0	25.0	0.0
20:48:17	15.0	25.0	0.0
20:48:18	15.0	25.0	0.0
20:48:19	15.0	25.0	0.0
20:48:19	15.0	25.0	0.0
20:48:19	15.0	25.0	0.0
20:48:20	15.0	25.0	0.0
20:48:21	15.0	25.0	0.0
20:48:21	15.0	25.0	0.0
20:48:22	15.0	25.0	0.0
20:48:22	15.0	25.0	0.0
20:48:23	15.0	25.0	0.0
20:48:23	15.0	25.0	0.0
20:48:24	15.0	25.0	0.0
20:48:25	15.0	25.0	0.0
20:48:25	15.0	25.0	0.0
20:48:25	15.0	25.0	0.0
20:48:26	15.0	25.0	0.0
20:48:26	15.0	25.0	0.0
20:48:27	15.0	25.0	0.0
20:48:27	15.0	25.0	0.0
