Hora	Azimuth	Elevación	Potencia
20:46:42	15.0	25.0	0.0
20:46:43	15.0	25.0	0.0
20:46:43	15.0	25.0	0.0
20:46:44	15.0	25.0	0.0
20:46:45	15.0	25.0	0.0
20:46:46	15.0	25.0	0.0
20:46:46	15.0	25.0	0.0
20:46:47	15.0	25.0	0.0
20:46:48	15.0	25.0	0.0
20:46:49	15.0	25.0	0.0
20:46:49	15.0	25.0	0.0
20:46:50	15.0	25.0	0.0
20:46:51	15.0	25.0	0.0
20:46:52	15.0	25.0	0.0
20:46:52	15.0	25.0	0.0
20:46:53	15.0	25.0	0.0
20:46:54	15.0	25.0	0.0
20:46:55	15.0	25.0	0.0
20:46:55	15.0	25.0	0.0
20:46:56	15.0	25.0	0.0
20:46:57	15.0	25.0	0.0
20:46:58	15.0	25.0	0.0
20:46:58	15.0	25.0	0.0
20:46:59	15.0	25.0	0.0
20:47:00	15.0	25.0	0.0
20:47:01	15.0	25.0	0.0
20:47:01	15.0	25.0	0.0
20:47:02	15.0	25.0	0.0
20:47:03	15.0	25.0	0.0
20:47:04	15.0	25.0	0.0
20:47:04	15.0	25.0	0.0
20:47:05	15.0	25.0	0.0
20:47:06	15.0	25.0	0.0
20:47:07	15.0	25.0	0.0
20:47:07	15.0	25.0	0.0
20:47:08	15.0	25.0	0.0
20:47:09	15.0	25.0	0.0
20:47:10	15.0	25.0	0.0
20:47:10	15.0	25.0	0.0
20:47:11	15.0	25.0	0.0
20:47:12	15.0	25.0	0.0
20:47:13	15.0	25.0	0.0
20:47:13	15.0	25.0	0.0
20:47:14	15.0	25.0	0.0
20:47:15	15.0	25.0	0.0
20:47:16	15.0	25.0	0.0
20:47:16	15.0	25.0	0.0
20:47:17	15.0	25.0	0.0
20:47:18	15.0	25.0	0.0
20:47:19	15.0	25.0	0.0
20:47:19	15.0	25.0	0.0
20:47:20	15.0	25.0	0.0
20:47:21	15.0	25.0	0.0
20:47:22	15.0	25.0	0.0
20:47:22	15.0	25.0	0.0
20:47:23	15.0	25.0	0.0
20:47:24	15.0	25.0	0.0
20:47:25	15.0	25.0	0.0
20:47:25	15.0	25.0	0.0
20:47:26	15.0	25.0	0.0
20:47:27	15.0	25.0	0.0
20:47:28	15.0	25.0	0.0
20:47:28	15.0	25.0	0.0
20:47:29	15.0	25.0	0.0
20:47:30	15.0	25.0	0.0
20:47:31	15.0	25.0	0.0
20:47:31	15.0	25.0	0.0
20:47:32	15.0	25.0	0.0
20:47:33	15.0	25.0	0.0
20:47:34	15.0	25.0	0.0
20:47:34	15.0	25.0	0.0
20:47:35	15.0	25.0	0.0
20:47:36	15.0	25.0	0.0
20:47:37	15.0	25.0	0.0
20:47:37	15.0	25.0	0.0
20:47:38	15.0	25.0	0.0
20:47:39	15.0	25.0	0.0
20:47:40	15.0	25.0	0.0
20:47:40	15.0	25.0	0.0
20:47:41	15.0	25.0	0.0
20:47:42	15.0	25.0	0.0
20:47:43	15.0	25.0	0.0
20:47:43	15.0	25.0	0.0
20:47:44	15.0	25.0	0.0
20:47:45	15.0	25.0	0.0
20:47:46	15.0	25.0	0.0
20:47:46	15.0	25.0	0.0
20:47:47	15.0	25.0	0.0
20:47:48	15.0	25.0	0.0
20:47:49	15.0	25.0	0.0
20:47:49	15.0	25.0	0.0
20:47:50	15.0	25.0	0.0
20:47:51	15.0	25.0	0.0
20:47:52	15.0	25.0	0.0
20:47:52	15.0	25.0	0.0
20:47:53	15.0	25.0	0.0
20:47:54	15.0	25.0	0.0
20:47:55	15.0	25.0	0.0
20:47:55	15.0	25.0	0.0
20:47:56	15.0	25.0	0.0
20:47:57	15.0	25.0	0.0
20:47:58	15.0	25.0	0.0
20:47:59	15.0	25.0	0.0
20:47:59	15.0	25.0	0.0
20:48:00	15.0	25.0	0.0
20:48:01	15.0	25.0	0.0
