Hora	Azimuth	Elevación	Potencia
21:17:27	15.0	32.2	0.0
21:17:27	15.0	32.2	0.0
21:17:27	15.0	32.2	0.0
21:17:28	15.0	32.2	0.0
21:17:29	15.0	32.2	0.0
21:17:29	15.0	32.2	0.0
21:17:30	15.0	32.2	0.0
21:17:30	15.0	32.2	0.0
21:17:31	15.0	32.2	0.0
21:17:31	15.0	32.2	0.0
21:17:32	15.0	32.2	0.0
21:17:33	15.0	32.2	0.0
21:17:33	15.0	32.2	0.0
21:17:33	15.0	32.2	0.0
21:17:34	15.0	32.2	0.0
21:17:35	15.0	32.2	0.0
21:17:35	15.0	32.2	0.0
21:17:36	15.0	32.2	0.0
21:17:36	15.0	32.2	0.0
21:17:37	15.0	32.2	0.0
21:17:37	15.0	32.2	0.0
21:17:38	15.0	32.2	0.0
21:17:39	15.0	32.2	0.0
21:17:39	15.0	32.2	0.0
21:17:39	15.0	32.2	0.0
21:17:40	15.0	32.2	0.0
21:17:41	15.0	32.2	0.0
21:17:41	15.0	32.2	0.0
